period,trait,sides_ms,sides_df,ind_ms,ind_df,sxi_ms,sxi_df,me_ms,me_df,sides_f,sides_p,ind_f,ind_p,fa_me_f,fa_me_p,anova_bonf,anova_rank,anova_alpha,pct_me,n_reps,fa10_noME,fa10_df
Jomon,mlp1,0.29417500000000235,1,0.8720976190476174,6,0.06119999999999987,6,0.05783214285714305,14,4.806781045751682,0.07083647663778653,14.249961095549333,0.002549572987196985,1.0582350398320206,0.4311503461741477,0.0071428571428571435,22,n.s.,94.49696545284831,2,0.0016839285714284127,0.013140976357620756
Jomon,xli1,0.15015625000000005,1,0.49770625000000007,3,0.059356250000000034,3,0.05988125000000012,8,2.5297462356533638,0.20994524477125168,8.385068969148149,0.05712135314979415,0.9912326479490644,0.4445530274942626,0.008333333333333333,23,n.s.,100.88448983889664,2,0,NA
Jomon,xbm2,2.4158865222393487e-30,1,0.6726833333333336,3,0.037083333333333336,3,0.041212500000000145,8,6.514750172330827e-29,0.999999999999994,18.139775280898885,0.019953386441319835,0.8998079061773299,0.48242578153328086,0.01,24,n.s.,111.13483146067453,2,0,NA
Jomon,xbp1,0.09800000000000049,1,1.4769949999999985,4,0.012500000000000214,4,0.013999999999999835,10,7.839999999999905,0.04881155054888499,118.15959999999785,2.1010026267468562e-4,0.8928571428571687,0.5030037805009835,0.0125,25,n.s.,111.99999999999676,2,0,NA
Jomon,mbi2,0.039999999999999564,1,0.9710416666666659,3,0.03785000000000035,3,0.050737500000000074,8,1.05680317040949,0.3795818826087449,25.654997798326473,0.012196398311363507,0.7459965508746055,0.5543260273738193,0.016666666666666666,26,n.s.,134.04887714663042,2,0,NA
Jomon,mbi1,0.06303749999999902,1,0.3996774999999991,5,0.01823749999999967,5,0.025970833333333443,12,3.4564770390678636,0.1221024829672095,21.91514736120665,0.0020609997031580994,0.702230065778903,0.6325007799285658,0.025,27,n.s.,142.4034726981983,2,0,NA
Jomon,xlc,3.0000000000005673e-4,1,1.6430249999999977,2,0.03542499999999991,2,0.13073333333333267,6,0.008468595624560551,0.9350658477215876,46.38038108680316,0.02110578212040869,0.2709714431412551,0.7714956939405868,0.05,28,n.s.,369.04257821688924,2,0,NA
Yayoi,xbi2,0.10631428571428608,1,1.1025802197802188,13,0.3251950549450546,13,0.012678571428571424,28,0.32692466904900847,0.5772288051844525,3.3905196374111912,0.017928970981339415,25.649187432286002,3.998180845650704e-12,0.0017857142857142859,1,*,3.898758986576107,2,0.15625824175824157,11.997616013439771
Yayoi,xlm1,0.7911363636363625,1,1.5830054545454533,10,0.6382563636363641,10,0.03346363636363634,22,1.2395275765508846,0.2916074102410854,2.4802031671514118,0.08404194656838851,19.073132301005188,1.3268397560437e-8,0.001851851851851852,2,*,5.242977316039999,2,0.30239636363636385,8.967688298384628
Yayoi,xli2,0.08724807692307796,1,2.4611826923076983,12,0.6524730769230785,12,0.04712884615384604,26,0.13371904528922626,0.7209715350751633,3.7720831392984087,0.014688566574770317,13.844452605378123,2.236516906623121e-8,0.0019230769230769232,3,*,7.223109706854949,2,0.30267211538461625,10.304249024580294
